Predicted_taxonomic_group,n,type
Clostridia,17243,y
Eubacteriaceae,13493,y
unclassified Lachnospiraceae,5294,y
Bacteroidaceae,4145,n
Ruminococcaceae,3781,y
Clostridiaceae,3428,y
Bacteria,3004,x
Blautia,2752,y
Bacteroidia,2309,n
Firmicutes,1987,x
Lachnoclostridium,1768,y
Butyrivibrio,1741,y
unclassified Clostridiales,1570,y
Dorea,1513,y
Erysipelotrichia,928,n
Porphyromonadaceae,693,n
Negativicutes,582,n
Bacilli,541,n
Bacteroidetes,482,n
Bacillus,255,n
Paenibacillaceae,255,n
Oribacterium,226,n
Peptostreptococcaceae,216,n
Flavobacteriia,198,n
Gammaproteobacteria,175,n
Oscillospiraceae,174,n
Pseudobutyrivibrio,174,n
Spirochaetes,155,n
Peptococcaceae,152,n
Lactobacillaceae,151,n
Enterococcaceae,140,n
Actinobacteria,131,n
Fusobacteria,122,n
unclassified Bacteria,117,x
Coriobacteriia,104,n
Myoviridae,102,n
Lachnoanaerobaculum,99,y
Bifidobacteriales,95,n
Siphoviridae,95,n
Cytophagia,94,n
Peptoniphilaceae,80,n
Proteobacteria,78,n
Thermoanaerobacterales,75,n
Flavobacterium,68,n
Sphingobacteriia,63,n
Rikenellaceae,50,n
Tenericutes,46,n
Desulfovibrionales,43,n
Cyanobacteria,38,n
Epsilonproteobacteria,34,n
Clostridiales incertae sedis,33,y
Pasteurellales,33,n
Alphaproteobacteria,32,n
Synergistetes,32,n
Oscillatoriales,30,n
Moraxellaceae,29,n
Escherichia,28,n
Listeriaceae,28,n
Caudovirales,25,n
Chryseobacterium,25,n
Podoviridae,25,n
Streptococcus suis,24,n
Carnobacteriaceae,23,n
Nostocales,23,n
Vibrionales,22,n
Betaproteobacteria,21,n
Capnocytophaga,21,n
Planococcaceae,21,n
Bacillales incertae sedis,20,n
Lysinibacillus,20,n
Methanobacteria,19,n
Archaea,18,n
Euryarchaeota,16,n
Staphylococcaceae,16,n
Deltaproteobacteria,15,n
Planctomycetes,15,n
delta/epsilon subdivisions,15,n
Thermotogae,14,n
Alloprevotella,13,n
Rhodospirillales,13,n
Sutterellaceae,13,n
Oceanobacillus,12,n
Thiotrichales,12,n
Pectobacterium,11,n
Aeromonadales,10,n
Desulfobacterales,10,n
Streptococcus infantis,10,n
Viruses,10,n
Eukaryota,9,n
Methanomicrobia,9,n
Verrucomicrobiae,9,n
"dsDNA viruses, no RNA stage",9,n
Cyanothece,8,n
Geobacillus,8,n
Streptococcus mitis,8,n
Streptococcus oralis,8,n
Aerococcaceae,7,n
Aquificae,7,n
Chloroflexi,6,n
Poales,6,n
Shewanellaceae,6,n
Sporolactobacillaceae,6,n
