sample	env	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	ENA-FIRST-PUBLIC (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE (run)	ENA-LAST-UPDATE	environment_(biome)	environment_(feature)	environment_(material)	Experiment	External_Id	geographic_location_(countryand/orsea;region)	geographic_location_(latitude)	geographic_location_(longitude)	human_gut_environmental_package	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Investigation_type	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	project_name	ReleaseDate	Sample Name	Sample_Name	Sequencing_method	SRA Study	Submitter_Id
ERR526291	control	WGS	200	3036308400	PRJEB6337	SAMEA2581875	1992377787	ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA	2011	public	sra,fastq	ena,gs,s3	s3.us-east-1,ena,gs.US	2014-06-13	2014-06-13	2018-11-16	2016-10-21	Human gut stool	Human gut stool	Human gut stool	ERX491494	SAMEA2581875	China	30	120	human-gut	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	2014-06-13T17:04:20Z	2016-10-21T09:36:17Z	public	Illumina HiSeq 2000	metagenome	unspecified	PAIRED	size fractionation	METAGENOMIC	metagenome	ILLUMINA	MGWAS_LC	2014-06-14T00:00:00Z	SAMEA2581875	HD-1_Run4	Illumina hiseq 2000	ERP005860	HD-1_Run4
ERR528329	control	WGS	200	3036308400	PRJEB6337	SAMEA2581875	1992377787	ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA	2011	public	sra,fastq	gs,s3,ena	ena,gs.US,s3.us-east-1	2014-06-13	2014-06-13	2018-11-16	2016-10-21	Human gut stool	Human gut stool	Human gut stool	ERX493532	SAMEA2581875	China	30	120	human-gut	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	2014-06-13T17:04:20Z	2016-10-21T09:36:17Z	public	Illumina HiSeq 2000	metagenome	unspecified	PAIRED	size fractionation	METAGENOMIC	metagenome	ILLUMINA	MGWAS_LC	2014-06-14T00:00:00Z	SAMEA2581875	HD-1_Run4	Illumina hiseq 2000	ERP005860	HD-1_Run4
ERR527046	control	WGS	200	4116246400	PRJEB6337	SAMEA2581876	2987551638	ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA	2011	public	sra,fastq	gs,ena,s3	gs.US,s3.us-east-1,ena	2014-06-13	2014-06-13	2018-11-16	2016-10-21	Human gut stool	Human gut stool	Human gut stool	ERX492249	SAMEA2581876	China	30	120	human-gut	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	2014-06-13T17:04:20Z	2016-10-21T09:36:17Z	public	Illumina HiSeq 2000	metagenome	unspecified	PAIRED	size fractionation	METAGENOMIC	metagenome	ILLUMINA	MGWAS_LC	2014-06-14T00:00:00Z	SAMEA2581876	HD-10_Run1	Illumina hiseq 2000	ERP005860	HD-10_Run1
ERR527047	control	WGS	200	4785266400	PRJEB6337	SAMEA2581877	3457008074	ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA	2011	public	sra,fastq	gs,ena,s3	ena,gs.US,s3.us-east-1	2014-06-13	2014-06-13	2018-11-16	2016-10-21	Human gut stool	Human gut stool	Human gut stool	ERX492250	SAMEA2581877	China	30	120	human-gut	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	2014-06-13T17:04:20Z	2016-10-21T09:36:17Z	public	Illumina HiSeq 2000	metagenome	unspecified	PAIRED	size fractionation	METAGENOMIC	metagenome	ILLUMINA	MGWAS_LC	2014-06-14T00:00:00Z	SAMEA2581877	HD-11_Run1	Illumina hiseq 2000	ERP005860	HD-11_Run1
ERR527048	control	WGS	200	4250081400	PRJEB6337	SAMEA2581878	3083634114	ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA	2011	public	fastq,sra	ena,gs,s3	gs.US,s3.us-east-1,ena	2014-06-13	2014-06-13	2018-11-16	2016-10-21	Human gut stool	Human gut stool	Human gut stool	ERX492251	SAMEA2581878	China	30	120	human-gut	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	2014-06-13T17:04:20Z	2016-10-21T09:36:14Z	public	Illumina HiSeq 2000	metagenome	unspecified	PAIRED	size fractionation	METAGENOMIC	metagenome	ILLUMINA	MGWAS_LC	2014-06-14T00:00:00Z	SAMEA2581878	HD-12_Run1	Illumina hiseq 2000	ERP005860	HD-12_Run1
ERR527050	control	WGS	200	2736826400	PRJEB6337	SAMEA2581880	1902127405	ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA	2011	public	fastq,sra	s3,ena,gs	gs.US,ena,s3.us-east-1	2014-06-13	2014-06-13	2018-11-16	2016-10-21	Human gut stool	Human gut stool	Human gut stool	ERX492253	SAMEA2581880	China	30	120	human-gut	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	2014-06-13T17:04:20Z	2016-10-21T09:36:14Z	public	Illumina HiSeq 2000	metagenome	unspecified	PAIRED	size fractionation	METAGENOMIC	metagenome	ILLUMINA	MGWAS_LC	2014-06-14T00:00:00Z	SAMEA2581880	HD-13_Run5	Illumina hiseq 2000	ERP005860	HD-13_Run5
ERR527051	control	WGS	200	5282893800	PRJEB6337	SAMEA2581881	3822519151	ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA	2011	public	sra,fastq	gs,ena,s3	s3.us-east-1,ena,gs.US	2014-06-13	2014-06-13	2018-11-16	2016-10-21	Human gut stool	Human gut stool	Human gut stool	ERX492254	SAMEA2581881	China	30	120	human-gut	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	2014-06-13T17:04:20Z	2016-10-21T09:36:17Z	public	Illumina HiSeq 2000	metagenome	unspecified	PAIRED	size fractionation	METAGENOMIC	metagenome	ILLUMINA	MGWAS_LC	2014-06-14T00:00:00Z	SAMEA2581881	HD-14_Run1	Illumina hiseq 2000	ERP005860	HD-14_Run1
ERR527053	control	WGS	200	7207092200	PRJEB6337	SAMEA2581883	5042402722	ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA	2011	public	sra,fastq	gs,ena,s3	ena,s3.us-east-1,gs.US	2014-06-13	2014-06-13	2018-11-16	2016-10-21	Human gut stool	Human gut stool	Human gut stool	ERX492256	SAMEA2581883	China	30	120	human-gut	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	2014-06-13T17:04:20Z	2016-10-21T09:36:14Z	public	Illumina HiSeq 2000	metagenome	unspecified	PAIRED	size fractionation	METAGENOMIC	metagenome	ILLUMINA	MGWAS_LC	2014-06-14T00:00:00Z	SAMEA2581883	HD-15_Run5	Illumina hiseq 2000	ERP005860	HD-15_Run5
ERR527055	control	WGS	200	3084657200	PRJEB6337	SAMEA2581885	2060462543	ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA	2011	public	fastq,sra	ena,gs,s3	gs.US,ena,s3.us-east-1	2014-06-13	2014-06-13	2018-11-16	2016-10-21	Human gut stool	Human gut stool	Human gut stool	ERX492258	SAMEA2581885	China	30	120	human-gut	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	2014-06-13T17:04:20Z	2016-10-21T09:36:16Z	public	Illumina HiSeq 2000	metagenome	unspecified	PAIRED	size fractionation	METAGENOMIC	metagenome	ILLUMINA	MGWAS_LC	2014-06-14T00:00:00Z	SAMEA2581885	HD-16_Run5	Illumina hiseq 2000	ERP005860	HD-16_Run5
ERR527056	control	WGS	200	2297356000	PRJEB6337	SAMEA2581886	1687972784	ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA	2011	public	sra,fastq	ena,s3,gs	gs.US,s3.us-east-1,ena	2014-06-13	2014-06-13	2018-11-16	2016-10-21	Human gut stool	Human gut stool	Human gut stool	ERX492259	SAMEA2581886	China	30	120	human-gut	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	ZHEJIANG UNIVERSITY\, HANGZHOU\, P. R. CHINA	2014-06-13T17:04:20Z	2016-10-21T09:36:15Z	public	Illumina HiSeq 2000	metagenome	unspecified	PAIRED	size fractionation	METAGENOMIC	metagenome	ILLUMINA	MGWAS_LC	2014-06-14T00:00:00Z	SAMEA2581886	HD-17_Run1	Illumina hiseq 2000	ERP005860	HD-17_Run1
